SEASON,PLAYER_ID_combine,TEAM_ABBREVIATION,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_W_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,SPOT_FIFTEEN_CORNER_LEFT,SPOT_FIFTEEN_BREAK_LEFT,SPOT_FIFTEEN_TOP_KEY,SPOT_FIFTEEN_BREAK_RIGHT,SPOT_FIFTEEN_CORNER_RIGHT,SPOT_COLLEGE_CORNER_LEFT,SPOT_COLLEGE_BREAK_LEFT,SPOT_COLLEGE_TOP_KEY,SPOT_COLLEGE_BREAK_RIGHT,SPOT_COLLEGE_CORNER_RIGHT,SPOT_NBA_CORNER_LEFT,SPOT_NBA_BREAK_LEFT,SPOT_NBA_TOP_KEY,SPOT_NBA_BREAK_RIGHT,SPOT_NBA_CORNER_RIGHT,OFF_DRIB_FIFTEEN_BREAK_LEFT,OFF_DRIB_FIFTEEN_TOP_KEY,OFF_DRIB_FIFTEEN_BREAK_RIGHT,OFF_DRIB_COLLEGE_BREAK_LEFT,OFF_DRIB_COLLEGE_TOP_KEY,OFF_DRIB_COLLEGE_BREAK_RIGHT,ON_MOVE_FIFTEEN,ON_MOVE_COLLEGE,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,OREB,PF,PTS,REB,STL,TOV
2014,203898,PHX,Tyler Ennis,PG,73.0,74.5,181.5,79.25,98.0,6.2,8.25,8.75,29.0,36.0,11.12,2.84,3.3,,,,,,,,,,,,,,,,,,,,,,,,,1.8,0.3,0.8,0.8,0.3,0.33299999999999996,2.6,1.1,0.429,0.3,0.3,1.0,0.1,0.4,2.8,0.9,0.0,1.0
2014,203957,UTA,Dante Exum,SG,76.5,78.0,196.3,81.5,103.0,6.4,8.5,9.5,31.5,34.5,10.75,2.88,3.19,,,,,,,,,,,,,,,,,,,,,,,,,2.4,0.2,1.3,3.2,1.0,0.314,5.1,1.8,0.349,0.4,0.2,0.625,0.3,1.8,4.8,1.6,0.5,1.4
2014,203932,ORL,Aaron Gordon,PF,79.5,80.75,220.1,83.75,105.0,5.05,8.75,10.5,32.5,39.0,10.81,2.76,3.27,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.5,2.6,1.0,0.3,0.271,4.4,2.0,0.447,1.3,0.9,0.721,1.0,1.8,5.2,3.6,0.4,0.8
2014,203924,PHI,Jerami Grant,SF,78.5,79.75,214.0,86.75,107.0,3.75,9.25,9.25,,,,,,,,,,,,0.2,0.2,0.2,0.4,0.6,0.4,0.6,0.4,0.4,0.6,0.6666666666666666,0.3333333333333333,0.5,,,,0.5454545454545454,,1.2,1.0,2.3,2.4,0.8,0.314,5.4,1.9,0.35200000000000004,3.0,1.8,0.591,0.8,2.2,6.3,3.0,0.6,1.3
2014,203798,CHA,P.J. Hairston,SG,76.25,77.25,228.8,81.0,101.0,8.2,8.75,9.75,32.0,37.0,11.12,,3.32,,,,,,,0.8,0.6,0.6,0.6,0.6,0.4,0.4,0.2,0.4,0.6,0.5,0.6666666666666666,0.8333333333333334,,,,0.6129032258064516,,0.5,0.3,1.6,3.6,1.1,0.301,6.0,1.9,0.32299999999999995,0.8,0.7,0.861,0.5,1.4,5.6,2.0,0.5,0.5
2014,203914,DEN,Gary Harris,SG,74.5,76.5,204.8,78.75,96.0,4.55,8.5,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.1,0.8,1.9,0.4,0.204,3.9,1.2,0.304,0.9,0.6,0.745,0.4,1.3,3.4,1.2,0.7,0.7
2014,203925,CLE,Joe Harris,SG,76.75,78.25,215.0,78.0,100.0,6.2,8.5,9.75,28.5,33.5,11.11,2.92,3.31,,,,,,,0.8,0.6,0.6,0.6,1.0,0.4,0.8,0.6,0.6,0.8,0.8333333333333334,0.8333333333333334,0.6666666666666666,,,,0.8108108108108109,,0.5,0.0,0.7,1.6,0.6,0.369,2.4,0.9,0.4,0.3,0.2,0.6,0.1,1.2,2.7,0.8,0.1,0.5
2014,203918,UTA,Rodney Hood,SF,79.25,80.5,208.2,80.5,103.0,7.45,8.5,8.5,29.0,36.0,11.21,3.14,3.38,,,,,,,0.2,0.6,0.8,0.8,0.6,0.6,0.4,0.8,0.8,0.4,0.8333333333333334,0.6666666666666666,0.8333333333333334,,,,0.7878787878787878,,1.7,0.2,2.2,3.4,1.2,0.365,7.5,3.1,0.414,1.6,1.2,0.763,0.2,2.4,8.7,2.3,0.6,0.9
2014,203928,BKN,Cory Jefferson,PF,79.75,81.0,218.4,84.5,105.0,5.25,8.75,9.75,33.0,37.5,12.63,3.39,3.36,,0.2,0.6,0.8,0.4,1.0,,,,,,0.6,1.0,0.2,0.6,0.4,0.0,0.5,0.8333333333333334,,,,0.7352941176470589,,0.3,0.4,2.0,0.3,0.0,0.133,3.3,1.5,0.449,1.1,0.6,0.574,0.9,1.2,3.7,2.9,0.2,0.4
2014,203910,HOU,Nick Johnson,SG,73.5,75.0,198.0,79.25,96.5,6.05,8.75,9.75,33.5,41.5,10.8,2.95,3.27,,,,,,,0.8,1.0,0.6,0.6,0.8,0.2,0.6,0.6,0.6,0.4,0.8333333333333334,0.8333333333333334,0.6666666666666666,,,,,0.5277777777777778,0.4,0.1,0.9,0.8,0.2,0.23800000000000002,2.7,0.9,0.34700000000000003,0.9,0.6,0.68,0.5,1.2,2.6,1.4,0.3,0.7
